touchdowns_pass_diff,touchdowns_rush_diff,touchdowns_total_diff,rushing_avg_yards_diff,rushing_attempts_diff,rushing_yards_diff,receiving_receptions_diff,receiving_avg_yards_diff,receiving_yards_diff,punts_attempts_diff,punts_avg_net_yards_diff,punt_returns_avg_yards_diff,penalties_diff,passing_attempts_diff,passing_completions_diff,passing_interceptions_diff,passing_avg_yards_diff,passing_poor_throws_diff,passing_defended_passes_diff,kickoffs_return_yards_diff,kick_returns_avg_yards_diff,kick_returns_touchdowns_diff,interceptions_diff,int_returns_avg_yards_diff,fumbles_diff,field_goals_attempts_diff,field_goals_made_diff,field_goals_avg_yards_diff,defense_tackles_diff,defense_assists_diff,defense_qb_hits_diff,matchup,outcome
7,15,24,0.477,28,348,-7,0.36,37,-17,-2.061,-0.362,16,10,-7,3,-0.076,23,-1,25,-0.58,0,1,-2.47,-9,-13,-15,-3.995,36,25,-4,Bills vs Chargers,1
4,17,23,0.564,41,440,-75,1.955,-108,-7,-1.732,1.69,18,-80,-75,-5,0.83,-1,6,62,-1.194,0,3,1.217,1,-8,-8,2.469,36,52,-18,Bills vs Chiefs,0
10,12,24,-0.158,-5,-101,40,-0.483,339,-13,-2.788,1.747,19,7,40,-13,0.557,-21,-14,316,-3.398,0,0,2.5,-9,-8,-7,1.658,-40,-75,11,Bills vs Colts,1
1,7,10,-0.437,-35,-389,-36,1.197,6,5,-3.1,1.193,1,-5,-36,-3,0.083,21,7,-1020,-3.368,0,9,-12.794,-9,-13,-10,2.221,63,-8,6,Bills vs Commanders,1
7,26,32,0.568,62,525,-69,1.689,-154,-7,-1.861,1.751,-16,-117,-69,-8,1.149,-21,-38,-284,-6.213,-2,3,1.601,-18,-18,-16,-7.139,45,-5,-11,Bills vs Cowboys,1
8,20,31,0.535,43,435,-84,2.198,-98,-2,-0.919,2.022,-2,-71,-84,-4,0.744,16,-3,339,-3.163,0,6,6.963,-17,-12,-13,-4.365,81,9,13,Bills vs Dolphins,1
6,3,11,-0.366,-130,-818,26,0.363,421,0,-2.127,2.414,9,72,26,0,-0.277,31,5,-60,-0.64,0,3,-3.706,-8,-7,-4,4.429,76,32,7,Bills vs Eagles,0
9,14,22,0.059,-4,11,-35,0.204,-345,8,1.46,2.069,13,-39,-35,-13,-0.089,17,-24,31,-0.492,0,4,-6.52,-10,-12,-5,3.146,15,-10,20,Bills vs Falcons,1
15,19,35,0.337,67,447,-37,2.35,417,-22,-0.265,3.993,0,-71,-37,-7,1.615,7,-22,311,-2.431,-1,11,-1.337,-11,1,1,-0.272,42,-97,0,Bills vs Giants,1
11,19,31,0.366,77,501,-14,1.133,221,-13,-5.024,-0.185,13,-26,-14,-9,0.765,-1,-12,494,0.185,0,10,2.23,-8,0,-3,-2.862,-17,-14,26,Bills vs Jaguars,1
-1,24,25,0.242,128,669,-56,1.539,-78,-8,-0.883,3.532,-25,-87,-56,-5,0.957,-9,-9,-35,-4.401,-1,9,6.492,-9,1,4,7.616,7,22,10,Bills vs Jets,1
-9,3,-5,-0.117,-43,-258,-70,0.145,-780,10,-5.956,-1.353,5,-31,-70,-6,-0.99,21,12,59,-5.525,0,0,-0.625,-1,0,-2,-3.862,70,88,-16,Bills vs Lions,0
2,9,13,-0.203,-35,-266,21,-0.819,-1,-1,0.157,3.277,0,41,21,-5,-0.65,9,14,-506,-2.325,0,-1,-7.878,-7,-9,-8,2.198,38,-3,3,Bills vs Packers,1
8,14,25,-0.038,81,352,-12,1.967,527,-19,-1.659,4.218,-6,-27,-12,-9,1.337,-11,3,-202,0.637,0,7,-1.604,-6,3,2,2.057,1,-126,30,Bills vs Panthers,1
12,21,35,0.127,45,261,-13,2.195,595,-15,-1.743,-2.64,1,-9,-13,-5,1.254,6,3,239,0.413,0,9,2.063,-19,-4,-2,0.828,35,-58,28,Bills vs Patriots,1
11,22,35,0.971,111,873,-81,1.929,-179,-12,-2.737,1.815,16,-115,-81,-10,1.09,-11,-12,192,-3.69,0,6,-3.937,-7,-11,-10,0.197,59,-37,8,Bills vs Raiders,1
8,17,24,0.62,41,465,-38,0.809,-158,-8,-0.724,2.649,21,-39,-38,-3,0.246,-5,-9,387,-1.504,0,3,-2.091,-2,-5,-5,0.407,44,-69,22,Bills vs Rams,1
-11,11,0,-1.214,-63,-959,11,-1.203,-251,0,-1.418,1.911,-20,43,11,2,-1.209,22,11,-27,-1.158,0,4,0.563,-8,-1,2,2.739,55,6,-28,Bills vs Ravens,1
9,17,28,0.141,47,276,-11,0.999,208,-20,-0.6,-0.949,2,-31,-11,-6,0.803,7,-8,-701,-1.152,0,2,-3.008,-5,-2,-3,-4.328,3,16,10,Bills vs Saints,1
9,15,22,0.294,108,603,-84,1.367,-441,-21,-3.516,4.153,-7,-73,-84,-10,0.189,28,-19,-346,-2.151,-1,3,-11.552,-10,-1,-2,-6.069,29,-29,-18,Bills vs Seahawks,1
9,18,28,0.478,-42,64,8,0.733,331,-13,-1.553,1.272,10,21,8,0,0.345,15,11,-367,2.875,0,-1,-3.231,-11,-15,-17,-5.921,52,1,-11,Bills vs Steelers,1
10,17,27,0.143,57,321,-28,0.9,-14,-22,-4.148,3.3,-7,-50,-28,-6,0.64,-15,-2,-358,-5.516,0,-3,-5.411,-3,-13,-12,-2.923,52,56,-4,Bills vs Texans,1
8,21,32,0.42,41,375,-7,1.193,317,-20,1.507,4.152,-20,-10,-7,-15,0.741,-4,5,-119,-1.15,0,5,1.245,-17,2,-1,-4.717,40,-9,27,Bills vs Titans,1
-5,23,18,0.483,34,375,-35,-0.06,-441,-2,-0.726,4.76,2,-28,-35,-6,-0.418,14,-3,369,1.518,0,-8,3.23,-6,-13,-11,-0.78,30,-10,-19,Bills vs Vikings,0
11,4,18,0.026,70,300,-16,0.227,-71,-12,0.959,5.692,-11,-91,-16,-11,0.813,-25,-30,-72,3.171,0,11,29.167,-6,7,13,10.208,19,53,34,Broncos vs Browns,1
-11,-4,-12,-1.112,-22,-628,-29,-0.995,-697,27,4.706,8.121,0,-1,-29,-4,-1.209,20,-8,-22,1.677,0,8,24.667,-12,2,1,3.595,7,62,28,Broncos vs Buccaneers,0
9,-6,5,-1.155,-2,-543,5,-0.271,-51,23,-0.659,6.073,16,27,5,1,-0.426,17,-9,133,-0.36,-1,6,27.334,-7,-4,-3,2.696,31,-55,66,Broncos vs Cardinals,1
7,-5,6,0.074,-2,26,43,-1.563,-93,5,0.165,3.737,12,60,43,9,-0.968,15,1,-139,1.545,0,0,17.134,-6,-8,-8,1.772,24,46,44,Broncos vs Chargers,0
4,-3,5,0.161,11,118,-25,0.032,-238,15,0.494,5.789,14,-30,-25,1,-0.062,-9,8,-102,0.931,0,2,20.821,4,-3,-1,8.236,24,73,30,Broncos vs Chiefs,0
10,-8,6,-0.561,-35,-423,90,-2.406,209,9,-0.562,5.846,15,57,90,-7,-0.335,-29,-12,152,-1.273,0,-1,22.104,-6,-3,0,7.425,-52,-54,59,Broncos vs Colts,1
1,-13,-8,-0.84,-65,-711,14,-0.726,-124,27,-0.874,5.292,-3,45,14,3,-0.809,13,9,-1184,-1.243,0,8,6.81,-6,-8,-3,7.988,51,13,54,Broncos vs Commanders,0
7,6,14,0.165,32,203,-19,-0.234,-284,15,0.365,5.85,-20,-67,-19,-2,0.257,-29,-36,-448,-4.088,-2,2,21.205,-15,-13,-9,-1.372,33,16,37,Broncos vs Cowboys,1
